date,month,day,year,price,totalCirculation,totalTransactionFees,numberofUniqueBitcoinAddresses,totalOutputVolumeValue,dailyMinersRevenue,difficulty,averageNumberOfTransactionsPerBlock,high,low,
1/3/2009,1,3,2009,0,50,0,1,50,0,1,1,,,
1/4/2009,1,4,2009,0,50,0,0,0,0,0,1,,,
1/5/2009,1,5,2009,0,50,0,0,0,0,0,1,,,
1/6/2009,1,6,2009,0,50,0,0,0,0,0,1,,,
1/7/2009,1,7,2009,0,50,0,0,0,0,0,1,,,
1/8/2009,1,8,2009,0,50,0,0,0,0,0,1,,,
1/9/2009,1,9,2009,0,750,0,14,700,0,1,1,,,
1/10/2009,1,10,2009,0,2300,0,31,1550,0,1,1,,,
1/11/2009,1,11,2009,0,7600,0,106,5300,0,1,1,,,
1/12/2009,1,12,2009,0,12050,0,96,4601,0,1,1,,,
1/13/2009,1,13,2009,0,17800,0,117,5778,0,1,1,,,
1/14/2009,1,14,2009,0,24100,0,126,6300,0,1,1,,,
1/15/2009,1,15,2009,0,30450,0,136,6911,0,1,1,,,
1/16/2009,1,16,2009,0,36250,0,117,5900,0,1,1,,,
1/17/2009,1,17,2009,0,41650,0,109,5500,0,1,1,,,
1/18/2009,1,18,2009,0,46700,0,101,5050,0,1,1,,,
1/19/2009,1,19,2009,0,52650,0,120,6100,0,1,1,,,
1/20/2009,1,20,2009,0,58450,0,118,6575,0,1,1,,,
1/21/2009,1,21,2009,0,64100,0,115,6150,0,1,1,,,
1/22/2009,1,22,2009,0,67850,0,76,4250,0,1,1,,,
1/23/2009,1,23,2009,0,71200,0,68,3500,0,1,1,,,
1/24/2009,1,24,2009,0,81150,0,201,10750,0,1,1,,,
1/25/2009,1,25,2009,0,90850,0,195,9750,0,1,1,,,
1/26/2009,1,26,2009,0,96650,0,116,5800,0,1,1,,,
1/27/2009,1,27,2009,0,101800,0,105,6300,0,1,1,,,
1/28/2009,1,28,2009,0,106950,0,103,5150,0,1,1,,,
1/29/2009,1,29,2009,0,113050,0,122,6100,0,1,1,,,
1/30/2009,1,30,2009,0,119100,0,122,6650,0,1,1,,,
1/31/2009,1,31,2009,0,125550,0,129,6450,0,1,1,,,
2/1/2009,2,1,2009,0,131350,0,118,6900,0,1,1,,,
2/2/2009,2,2,2009,0,137700,0,127,6350,0,1,1,,,
2/3/2009,2,3,2009,0,144500,2.01,145,7436.52,0,1,1,,,
2/4/2009,2,4,2009,0,150650,0,129,6300,0,1,1,,,
2/5/2009,2,5,2009,0,156700,0,121,6050,0,1,1,,,
2/6/2009,2,6,2009,0,163150,0,129,6450,0,1,1,,,
2/7/2009,2,7,2009,0,169450,0,131,7498,0,1,1,,,
2/8/2009,2,8,2009,0,176150,0,135,7700,0,1,1,,,
2/9/2009,2,9,2009,0,182550,0,129,8600,0,1,1,,,
2/10/2009,2,10,2009,0,188900,0,127,6350,0,1,1,,,
2/11/2009,2,11,2009,0,195450,0,132,6900.04,0,1,1,,,
2/12/2009,2,12,2009,0,201350,0,119,6100,0,1,1,,,
