Month,Day,Year,Price,totalCirculation,totalTransactionFees,numberOfUniqueBitcoinAddressesUsed,totalOutputVolumeValue,averageNumberOfTransactionsPerBlock
1,3,2009,0,50,0,1,50,1
1,4,2009,0,50,0,0,0,1
1,5,2009,0,50,0,0,0,1
1,6,2009,0,50,0,0,0,1
1,7,2009,0,50,0,0,0,1
1,8,2009,0,50,0,0,0,1
1,9,2009,0,750,0,14,700,1
1,10,2009,0,2300,0,31,1550,1
1,11,2009,0,7600,0,106,5300,1
1,12,2009,0,12050,0,96,4601,1
1,13,2009,0,17800,0,117,5778,1
1,14,2009,0,24100,0,126,6300,1
1,15,2009,0,30450,0,136,6911,1
1,16,2009,0,36250,0,117,5900,1
1,17,2009,0,41650,0,109,5500,1
1,18,2009,0,46700,0,101,5050,1
1,19,2009,0,52650,0,120,6100,1
1,20,2009,0,58450,0,118,6575,1
1,21,2009,0,64100,0,115,6150,1
1,22,2009,0,67850,0,76,4250,1
1,23,2009,0,71200,0,68,3500,1
1,24,2009,0,81150,0,201,10750,1
1,25,2009,0,90850,0,195,9750,1
1,26,2009,0,96650,0,116,5800,1
1,27,2009,0,101800,0,105,6300,1
1,28,2009,0,106950,0,103,5150,1
1,29,2009,0,113050,0,122,6100,1
1,30,2009,0,119100,0,122,6650,1
1,31,2009,0,125550,0,129,6450,1
2,1,2009,0,131350,0,118,6900,1
2,2,2009,0,137700,0,127,6350,1
2,3,2009,0,144500,2.01,145,7436.52,1
2,4,2009,0,150650,0,129,6300,1
2,5,2009,0,156700,0,121,6050,1
2,6,2009,0,163150,0,129,6450,1
2,7,2009,0,169450,0,131,7498,1
2,8,2009,0,176150,0,135,7700,1
2,9,2009,0,182550,0,129,8600,1
2,10,2009,0,188900,0,127,6350,1
2,11,2009,0,195450,0,132,6900.04,1
2,12,2009,0,201350,0,119,6100,1
2,13,2009,0,207550,0,124,6200,1
2,14,2009,0,214600,0,141,7050,1
2,15,2009,0,220700,0,125,7000,1
2,16,2009,0,226850,0,123,6150,1
2,17,2009,0,232750,0,119,7400,1
2,18,2009,0,238950,0,124,6200,1
2,19,2009,0,244800,0,117,5850,1
2,20,2009,0,251200,0,129,7200,1
2,21,2009,0,256700,0,110,5500,1
2,22,2009,0,262750,0,125,7100,1
2,23,2009,0,268100,0,107,5350,1
2,24,2009,0,273650,0,111,5550,1
2,25,2009,0,279000,0,107,5350,1
2,26,2009,0,283800,0,96,4800,1
2,27,2009,0,289950,0,123,6150,1
2,28,2009,0,295050,0,103,6900,1
3,1,2009,0,300350,0,107,5650,1
3,2,2009,0,305550,0,104,5200,1
3,3,2009,0,310850,0,107,5700,1
3,4,2009,0,316150,0,106,5300,1
3,5,2009,0,321450,0,108,6550,1
3,6,2009,0,327350,0,119,6300,1
3,7,2009,0,332900,0,111,5550,1
3,8,2009,0,338500,0,115,7150,1
3,9,2009,0,344150,0,113,5650,1
3,10,2009,0,349400,0,105,5250,1
3,11,2009,0,354800,0,108,5400,1
3,12,2009,0,360700,0,119,6050,1
3,13,2009,0,366400,0,115,6450,1
3,14,2009,0,372200,0,116,5800,1
3,15,2009,0,377750,0,111,5550,1
3,16,2009,0,384250,0,131,8900,1
3,17,2009,0,390000,0,115,5750,1
3,18,2009,0,395500,0,110,5500,1
3,19,2009,0,401600,0,123,6800,1
3,20,2009,0,407500,0,119,6500,1
3,21,2009,0,411350,0,77,3850,1
3,22,2009,0,416100,0,96,5300,1
3,23,2009,0,422700,0,132,6600,1
3,24,2009,0,427950,0,105,5250,1
3,25,2009,0,433750,0,116,5800,1
3,26,2009,0,439400,0,114,7050,1
3,27,2009,0,444900,0,110,5500,1
3,28,2009,0,450850,0,120,6950,1
3,29,2009,0,456450,0,112,5600,1
3,30,2009,0,462700,0,125,6250,1
3,31,2009,0,468350,0,114,7250,1
4,1,2009,0,473700,0,107,5350,1
4,2,2009,0,479700,0,120,6000,1
4,3,2009,0,485350,0,113,5650,1
4,4,2009,0,491000,0,113,5650,1
4,5,2009,0,497450,0,129,6450,1
4,6,2009,0,503200,0,116,6600,1
4,7,2009,0,508150,0,99,4950,1
4,8,2009,0,513350,0,104,5200,1
4,9,2009,0,518300,0,99,4950,1
4,10,2009,0,523450,0,103,5150,1
4,11,2009,0,529550,0,123,6450,1
4,12,2009,0,535300,0,115,5750,1
4,13,2009,0,541050,0,119,6750,1
4,14,2009,0,547400,0,127,6350,1
4,15,2009,0,553000,0,112,5600,1
4,16,2009,0,559150,0,123,6150,1
4,17,2009,0,564900,0,115,5750,1
4,18,2009,0,571000,0,125,6232.51,1
4,19,2009,0,576950,0,121,6400,1
4,20,2009,0,582800,0,118,8100,1
4,21,2009,0,588950,0,126,9700,1
4,22,2009,0,595000,0,121,6050,1
4,23,2009,0,599000,0,80,4000,1
4,24,2009,0,604650,0,113,5650,1
4,25,2009,0,610750,0,122,6100,1
4,26,2009,0,616200,0,110,6200,1
4,27,2009,0,621450,0,105,5250,1
4,28,2009,0,627300,0,117,5850,1
4,29,2009,0,633450,0,123,6150,1
4,30,2009,0,640050,0,133,7600,1
5,1,2009,0,646200,0,123,6150,1
5,2,2009,0,652350,0.03,125,6200,1
5,3,2009,0,658050,0,116,6399.94,1
5,4,2009,0,664150,0,126,6210,1
5,5,2009,0,670750,0,133,8100,1
5,6,2009,0,677600,0,138,7350,1
5,7,2009,0,683650,0,121,6050,1
5,8,2009,0,689750,0,122,6100,1
5,9,2009,0,694300,0,91,4550,1
5,10,2009,0,697400,0,62,3100,1
5,11,2009,0,703350,0.1,121,6050,1
5,12,2009,0,709700,0,127,6350,1
5,13,2009,0,715450,0,118,5850,1
5,14,2009,0,722100,0,138,6800.01,1
5,15,2009,0,729250,0,146,7249.99,1
5,16,2009,0,734950,0,115,6200,1
5,17,2009,0,741200,0,125,6250,1
5,18,2009,0,747400,0,124,6200,1
5,19,2009,0,752400,0,100,5000,1
5,20,2009,0,757600,0,104,5200,1
5,21,2009,0,762050,0,89,4450,1
5,22,2009,0,766200,0,83,4150,1
5,23,2009,0,766550,0,7,350,1
5,24,2009,0,771350,0,96,4800,1
5,25,2009,0,776950,0,112,5600,1
5,26,2009,0,782600,0,113,5650,1
5,27,2009,0,788850,0,125,6250,1
5,28,2009,0,794000,0,103,5150,1
5,29,2009,0,799350,0,108,8350,1
5,30,2009,0,804500,0,103,5150,1
5,31,2009,0,810400,0,118,5900,1
6,1,2009,0,814050,0,75,3700,1
6,2,2009,0,818500,0,89,4450,1
6,3,2009,0,823400,0,98,4900,1
6,4,2009,0,825350,0,39,1950,1
6,5,2009,0,828200,0,57,2850,1
6,6,2009,0,829400,0,24,1200,1
6,7,2009,0,829600,0,4,200,1
6,8,2009,0,833200,0,72,3600,1
6,9,2009,0,837900,0,94,4700,1
6,10,2009,0,842050,0,83,4150,1
6,11,2009,0,846700,0,93,4650,1
6,12,2009,0,851250,0,91,4550,1
6,13,2009,0,854950,0,74,3700,1
6,14,2009,0,858450,0,70,3500,1
6,15,2009,0,862550,0,82,4100,1
6,16,2009,0,866200,0,73,3650,1
6,17,2009,0,870050,0,77,3850,1
6,18,2009,0,874100,0,81,4050,1
6,19,2009,0,878450,0,87,4350,1
6,20,2009,0,882650,0,84,4200,1
6,21,2009,0,886400,0,75,3750,1
6,22,2009,0,890400,0,81,7000,1
6,23,2009,0,894200,0,76,3800,1
6,24,2009,0,898450,0,88,4398.98,1
6,25,2009,0,902150,0,74,3700,1
6,26,2009,0,906600,0,90,5450,1
6,27,2009,0,910850,0,85,4250,1
6,28,2009,0,913400,0,53,2600,1
6,29,2009,0,917200,0,76,3800,1
6,30,2009,0,921550,0,89,4495,1
7,1,2009,0,925700,0,84,4250,1
7,2,2009,0,929300,0,72,3600,1
7,3,2009,0,933450,0,85,4200,1
7,4,2009,0,937900,0,89,4450,1
7,5,2009,0,941900,0,80,4000,1
7,6,2009,0,946450,0,91,4550,1
7,7,2009,0,949600,0,63,3150,1
7,8,2009,0,953550,0,79,3950,1
7,9,2009,0,957600,0,81,4050,1
7,10,2009,0,961700,0,82,4100,1
7,11,2009,0,965900,0,84,4200,1
7,12,2009,0,969700,0,76,3800,1
7,13,2009,0,973500,0,76,3800,1
7,14,2009,0,977100,0,72,3600,1
7,15,2009,0,979400,0,46,2300,1
7,16,2009,0,982850,0,69,3450,1
7,17,2009,0,986100,0,65,3250,1
7,18,2009,0,986250,0,3,150,1
7,19,2009,0,988850,0,52,2600,1
7,20,2009,0,992600,0,75,3750,1
7,21,2009,0,996300,0.14,76,9749.67,1
7,22,2009,0,999750,0,69,3450,1
7,23,2009,0,1003050,0,66,3300,1
7,24,2009,0,1006800,0,75,3750,1
7,25,2009,0,1009450,0,53,2650,1
7,26,2009,0,1010100,0,13,650,1
7,27,2009,0,1013300,0,64,3200,1
7,28,2009,0,1015500,0,44,2200,1
7,29,2009,0,1017100,0,32,1600,1
7,30,2009,0,1017800,0,17,850,1
7,31,2009,0,1018400,0,12,600,1
8,1,2009,0,1019550,0,23,1150,1
8,2,2009,0,1021050,0,30,1500,1
8,3,2009,0,1021800,0,15,750,1
8,4,2009,0,1024700,0,58,2900,1
8,5,2009,0,1029250,0,91,4550,1
8,6,2009,0,1034050,0,96,4800,1
8,7,2009,0,1037750,0,74,3700,1
8,8,2009,0,1041850,0.13,84,9649.53,1
8,9,2009,0,1046750,0,98,4900,1
8,10,2009,0,1050850,0,82,4100,1
8,11,2009,0,1054200,0,67,3350,1
8,12,2009,0,1057600,0,68,3400,1
8,13,2009,0,1061650,0,81,4050,1
8,14,2009,0,1064900,0,65,3250,1
8,15,2009,0,1066600,0,34,1700,1
8,16,2009,0,1067850,0,25,1250,1
8,17,2009,0,1068700,0,17,850,1
8,18,2009,0,1069150,0,9,450,1
8,19,2009,0,1069900,0,15,750,1
8,20,2009,0,1071100,0,24,1200,1
8,21,2009,0,1071900,0,16,800,1
8,22,2009,0,1072300,0,8,400,1
8,23,2009,0,1072900,0,12,600,1
8,24,2009,0,1073300,0,8,400,1
8,25,2009,0,1076050,0,55,2750,1
8,26,2009,0,1078150,0,42,2100,1
8,27,2009,0,1079650,0,34,3848.06,1
8,28,2009,0,1082850,0,64,3200,1
8,29,2009,0,1087000,0,83,4150,1
8,30,2009,0,1091500,0,91,4550,1
8,31,2009,0,1096200,0,95,5000,1
9,1,2009,0,1100150,0,79,3950,1
9,2,2009,0,1103550,0,68,3400,1
9,3,2009,0,1106550,0,61,3700,1
9,4,2009,0,1109700,0,63,3150,1
9,5,2009,0,1113250,0,71,3550,1
9,6,2009,0,1116850,0,72,3600,1
9,7,2009,0,1120750,0,79,4550,1
9,8,2009,0,1124050,0,66,3300,1
9,9,2009,0,1126950,0,58,2900,1
9,10,2009,0,1130000,0,61,3050,1
9,11,2009,0,1133400,0,68,3400,1
9,12,2009,0,1136950,0,71,3550,1
9,13,2009,0,1140450,0,70,3500,1
9,14,2009,0,1144500,0,81,4050,1
9,15,2009,0,1147300,0,56,2800,1
